accommodation_name,accommodation_address,accommodation_rating,City
Colonial Motor Inn Bairnsdale (Golden Chain Motel),"335 Main St, Bairnsdale VIC 3875, Australia",4.5,BAIRNSDALE
Tanjil Motor Inn,"384 Main St, Bairnsdale VIC 3875, Australia",4.3,BAIRNSDALE
Bairnsdale Kansas City Motel,"310 Main St, Bairnsdale VIC 3875, Australia",4.1,BAIRNSDALE
Bairnsdale Motel,"42 Great Alpine Rd, Lucknow VIC 3875, Australia",4.7,BAIRNSDALE
Travellers Rest Motel,"49 Main St, Bairnsdale VIC 3875, Australia",3.4,BAIRNSDALE
Town Central Motel,"164 Nicholson St, Bairnsdale VIC 3875, Australia",4.3,BAIRNSDALE
Mitchell On Main,"291-295 Main St, Bairnsdale VIC 3875, Australia",4.2,BAIRNSDALE
Bairnsdale Comfort Inn,"598 Main St, Bairnsdale VIC 3875, Australia",5.0,BAIRNSDALE
Mariners Cove Motel at Paynesville,"2-8 Victoria St, Paynesville VIC 3880, Australia",4.5,BAIRNSDALE
Gippsland Lakehouse,"9 The Inlet, Paynesville VIC 3880, Australia",4.8,BAIRNSDALE
Down to Earth Farm Retreat,"164 Mulhollands Rd, Sarsfield VIC 3875, Australia",5.0,BAIRNSDALE
Acacia Lakehouse,"270 Wattle Point Rd, Forge Creek VIC 3875, Australia",5.0,BAIRNSDALE
Frankston Motel,"233 Frankston - Flinders Rd, Frankston VIC 3199, Australia",4.0,FRANKSTON
Frankston International Motel,"389 Nepean Hwy, Frankston VIC 3199, Australia",4.2,FRANKSTON
Quest Frankston on the Bay,"435-437 Nepean Hwy, Frankston VIC 3199, Australia",4.2,FRANKSTON
Quest Frankston,"377 Nepean Hwy, Frankston VIC 3199, Australia",4.0,FRANKSTON
Nightcap at The Cheeky Squire,"510 Nepean Hwy, Frankston VIC 3199, Australia",4.3,FRANKSTON
Caravan Parks of Australia Frankston Holiday Park,"1325 Frankston - Dandenong Rd, Carrum Downs VIC 3201, Australia",4.0,FRANKSTON
Beach Motor Inn Frankston,"9 Beach St, Frankston VIC 3199, Australia",3.0,FRANKSTON
Nightcap at Seaford Hotel,"362 Frankston - Dandenong Rd, Seaford VIC 3198, Australia",4.1,FRANKSTON
Carrum Downs Motel,"1165 Frankston - Dandenong Rd, Carrum Downs VIC 3201, Australia",3.7,FRANKSTON
Seaford Hotel,"362 Frankston - Dandenong Rd, Seaford VIC 3198, Australia",3.8,FRANKSTON
The Cheeky Squire Hotel,"510 Nepean Hwy, Frankston VIC 3199, Australia",4.4,FRANKSTON
Sandhurst Motel,"1325 Frankston - Dandenong Rd, Carrum Downs VIC 3201, Australia",3.7,FRANKSTON
Frankston Rooming House,"12 Bondi Ave, Frankston VIC 3199, Australia",2.2,FRANKSTON
Baxter Tavern & Motel,"117 Baxter-Tooradin Rd, Baxter VIC 3911, Australia",4.1,FRANKSTON
Isle of Serenity,"75 Gould St, Frankston VIC 3199, Australia",4.1,FRANKSTON
Mahogany Park Motel,"110 Sladen St, Cranbourne VIC 3977, Australia",3.4,FRANKSTON
Norwood House Receptions & Motel Mount Eliza,"1198 Nepean Hwy, Mount Eliza VIC 3930, Australia",3.8,FRANKSTON
Seaford Beach Cabin Park,"257 Nepean Hwy, Seaford VIC 3198, Australia",3.8,FRANKSTON
Cranbourne Motor Inn,"1449 S Gippsland Hwy, Cranbourne VIC 3977, Australia",3.1,FRANKSTON
Caravan Parks of Australia Carrum Downs Holiday Park,"1165 Frankston - Dandenong Rd, Carrum Downs VIC 3201, Australia",3.8,FRANKSTON
Loddon River Motel Kerang,"103 Wellington St, Kerang VIC 3579, Australia",4.7,KERANG
Kerang Motel,"77 Wellington St, Kerang VIC 3579, Australia",4.4,KERANG
Kerang Valley Resort,"76 Murray Valley Hwy, Kerang VIC 3579, Australia",3.8,KERANG
Royal Hotel,"60 Victoria St, Kerang VIC 3579, Australia",4.0,KERANG
Ibis Caravan Park and Kerang Cabins,"9399 Murray Valley Hwy, Kerang VIC 3579, Australia",4.4,KERANG
Murray Waters Motor Inn & Apartments,"1 Keene St, Koondrook VIC 3580, Australia",4.7,KERANG
Acacia Rose Motor Inn,"18 Thule St, Barham NSW 2732, Australia",4.5,KERANG
Kerang Caravan & Tourist Park,"21 Museum Dr, Kerang VIC 3579, Australia",4.5,KERANG
Riverland Motel,"45 Thule St, Barham NSW 2732, Australia",4.3,KERANG
Barham Hotel,"34 Murray St, Barham NSW 2732, Australia",4.4,KERANG
Barham Colonial Motel,"72 Murray St, Barham NSW 2732, Australia",3.7,KERANG
Barham Bridge Motor Inn,"1 Murray St, Barham NSW 2732, Australia",4.3,KERANG
cluBarham Motel,"45 Murray St, Barham NSW 2732, Australia",4.3,KERANG
Bottlemart - Royal Hotel,"2 Murray St, Barham NSW 2732, Australia",4.4,KERANG
CluBarham River Motel,"1 Niemur St, Barham NSW 2732, Australia",3.8,KERANG
Arch on Mellool,"Cnr of Murray & Mellool Street, Barham NSW 2732, Australia",5.0,KERANG
Barham Golden Rivers Apartments,"21 Niemur St, Barham NSW 2732, Australia",4.4,KERANG
Pelican Waters Lake Charm,"Benjeroop-Lake Charm Rd & Boat Ramp Road, Lake Charm VIC 3581, Australia",4.7,KERANG
Koondrook Caravan Park,"5 Keene St, Koondrook VIC 3580, Australia",4.3,KERANG
Kangaroo Lake Caravan Park,"2625 Murray Valley Hwy, Mystic Park VIC 3579, Australia",4.5,KERANG
Kimberley Gardens Hotel,"441 Inkerman St, St Kilda East VIC 3183, Australia",4.4,CAULFIELD SOUTH
Evancourt Motel,"1015/1019 Princes Hwy Service Rd, Malvern East VIC 3145, Australia",3.0,CAULFIELD SOUTH
The Caulfield Serviced Apartments,"Apartment 103/6 Station St, Caulfield North VIC 3161, Australia",0.0,CAULFIELD SOUTH
Seaside Home,"35 Shelley St, Elwood VIC 3184, Australia",4.7,CAULFIELD SOUTH
Tolarno Hotel,"42 Fitzroy St, St Kilda VIC 3182, Australia",4.0,CAULFIELD SOUTH
The Sebel Melbourne Malvern,"803 Dandenong Rd, Malvern VIC 3145, Australia",4.4,CAULFIELD SOUTH
Marine Hotel,"215 New St, Brighton VIC 3186, Australia",3.6,CAULFIELD SOUTH
Espresso Apartments,"35/2 Gordon St, Elsternwick VIC 3185, Australia",3.6,CAULFIELD SOUTH
Como Court,"53 Barkly St, Melbourne VIC 3182, Australia",3.1,CAULFIELD SOUTH
Brighton Serviced Apartments,"408 Bay St, Brighton VIC 3186, Australia",4.0,CAULFIELD SOUTH
Deco Family House,"1496 Malvern Rd, Glen Iris VIC 3146, Australia",4.5,CAULFIELD SOUTH
Carnegie Motor Inn,"1102 Dandenong Rd, Carnegie VIC 3163, Australia",3.0,CAULFIELD SOUTH
Stanhope,"125 Stanhope St, Malvern VIC 3144, Australia",0.0,CAULFIELD SOUTH
Sandbelt Club Hotel,"630 South Rd, Moorabbin VIC 3189, Australia",3.7,CAULFIELD SOUTH
Beau Bay Houses,"24A Elm Grove, Brighton VIC 3186, Australia",5.0,CAULFIELD SOUTH
Brighton Bay Apartments,"197 Bay St, Brighton VIC 3186, Australia",4.3,CAULFIELD SOUTH
The Prince Hotel,"29 Fitzroy St, St Kilda VIC 3182, Australia",4.7,CAULFIELD SOUTH
St Kilda East Lodge,"2 Tantram Ave, Melbourne VIC 3183, Australia",2.2,CAULFIELD SOUTH
Quest Brighton on the Bay,"250 Esplanade, Brighton VIC 3186, Australia",4.0,CAULFIELD SOUTH
Melaleuca Motel,"25 Bentinck St, Portland VIC 3305, Australia",4.1,PORTLAND
Admella Motel,"Via Percy street, 5 Otway Ct, Portland VIC 3305, Australia",4.6,PORTLAND
Portland Retro Motel,"206 Hurd St, Portland VIC 3305, Australia",4.5,PORTLAND
Mariner Motel,"196 Percy St, Portland VIC 3305, Australia",4.4,PORTLAND
William Dutton Motel,"141 Percy St, Portland VIC 3305, Australia",3.0,PORTLAND
Clifftop Accommodation Portland Vic Australia,"13 Clifton Ct, Portland VIC 3305, Australia",4.9,PORTLAND
Inverleigh Hotel,"1 High St, Inverleigh VIC 3321, Australia",4.4,BANNOCKBURN
La Bella Vita,"8 Fleurs Ln, Batesford VIC 3213, Australia",4.9,BANNOCKBURN
Corio Bay Motel,"292 Princes Hwy, Corio VIC 3214, Australia",3.0,BANNOCKBURN
PierPoint 401,"100 Western Beach Rd, Geelong VIC 3220, Australia",4.1,BANNOCKBURN
Artrocks Estate,"199 Teesdale-Inverleigh Rd, Inverleigh VIC 3321, Australia",5.0,BANNOCKBURN
Rocklea Farm,"159 Friend in Hand Rd, Stonehaven VIC 3218, Australia",5.0,BANNOCKBURN
Lovely Banks,"340 Evans Rd, Lovely Banks VIC 3213, Australia",0.0,BANNOCKBURN
Sir Charles Hotham Hotel,"3 Brougham St, Geelong VIC 3220, Australia",4.3,BANNOCKBURN
Shannon Motor Inn,"283/285 Shannon Ave, Newtown VIC 3220, Australia",4.4,BANNOCKBURN
Waurn Ponds Hotel,"1154 Princes Hwy, Waurn Ponds VIC 3216, Australia",3.7,BANNOCKBURN
The Sphinx Hotel,"2 Thompson Rd, North Geelong VIC 3215, Australia",3.9,BANNOCKBURN
Waurn Ponds Estate,"Deakin Geelong, Nicol Dr S, Waurn Ponds VIC 3216, Australia",4.7,BANNOCKBURN
Parkwood Motel & Apartments,"8 Lily St, Hamlyn Heights VIC 3215, Australia",4.3,BANNOCKBURN
Belmercer Motel,"12-14 Mercer St, Geelong VIC 3220, Australia",3.7,BANNOCKBURN
The Abbotswood Motor Inn,"308-310 High St, Belmont VIC 3216, Australia",3.7,BANNOCKBURN
Ardara House Bed & Breakfast,"4 Aberdeen St, Geelong West VIC 3218, Australia",4.5,BANNOCKBURN
Kardinia Park Motel,"422 Latrobe Terrace, Newtown VIC 3220, Australia",3.8,BANNOCKBURN
Staughton Vale Vineyard,"20 Staughton Vale Rd, Anakie VIC 3221, Australia",4.7,BANNOCKBURN
Rose Garden Motel,"14-16 Settlement Rd, Geelong VIC 3216, Australia",4.5,BANNOCKBURN
Ebony Quill Cottages & Restaurant,"620 Princes Hwy, Mount Moriac VIC 3240, Australia",3.9,BANNOCKBURN
Oval Motel Bendigo,"194 Barnard St, Bendigo VIC 3550, Australia",4.5,BENDIGO
Best Western Cathedral Motor Inn,"96-102 High St, Bendigo VIC 3550, Australia",4.4,BENDIGO
Alexandra Place,"198-200 McCrae St, Bendigo VIC 3550, Australia",4.5,BENDIGO
Central Deborah Motel - 2020 renovations,"177/183 High St, Bendigo VIC 3550, Australia",4.4,BENDIGO
The Happy Wanderer Motel,"358 Napier St, Bendigo VIC 3550, Australia",4.2,BENDIGO
Bendigo Goldfields Motor Inn,"308 High St, Golden Square VIC 3555, Australia",4.5,BENDIGO
Barclay On View,"181 View St, Bendigo VIC 3550, Australia",4.0,BENDIGO
Bendigo Guesthouse,"119 Barnard St, Bendigo VIC 3554, Australia",4.6,BENDIGO
Tea House Motor Inn and Apartments,"280 Napier St, Bendigo VIC 3550, Australia",4.7,BENDIGO
The Heritage Bendigo,"259 High St, Bendigo VIC 3550, Australia",4.6,BENDIGO
Bendigo Homestead Motor Inn & Apartments,"508 High St, Golden Square VIC 3555, Australia",3.7,BENDIGO
Elm Motel,"454 High St, Golden Square VIC 3555, Australia",4.4,BENDIGO
Golden Square Motor Inn,"371 High St, Golden Square VIC 3555, Australia",4.4,BENDIGO
Golden Hills Motel,"145 Marong Rd, Bendigo VIC 3550, Australia",4.3,BENDIGO
Fountain View Suites,"10-12 View St, Bendigo VIC 3550, Australia",4.3,BENDIGO
Bendigo Welcome Stranger Motel,"56 MacKenzie St W, Golden Square VIC 3555, Australia",4.5,BENDIGO
Calder Motel,"296 High St, Kangaroo Flat VIC 3555, Australia",4.0,BENDIGO
Bendigo's Allara Motor Lodge,"569 Napier St, Bendigo VIC 3550, Australia",3.8,BENDIGO
Bendigo Central Apartments,"175 High St, Bendigo VIC 3550, Australia",3.8,BENDIGO
Stay Social Bendigo Accommodation,"212 Queen St, Bendigo VIC 3550, Australia",4.1,BENDIGO
Quest Dandenong Central,"2-10 Walker St, Dandenong VIC 3175, Australia",4.2,DANDENONG
Punthill Apartment Hotel Dandenong,"157-163 Lonsdale St, Dandenong VIC 3175, Australia",4.0,DANDENONG
Dandenong Motel,"147 Princes Hwy, Dandenong VIC 3175, Australia",3.5,DANDENONG
City Edge Dandenong Apartment Hotel,"229 Thomas St, Dandenong VIC 3175, Australia",3.6,DANDENONG
Atura Hotel Dandenong,"5-17 Doveton Ave, Eumemmerring VIC 3177, Australia",4.1,DANDENONG
Sandown Heritage Motor Inn,"433 Princes Hwy, Noble Park VIC 3174, Australia",3.5,DANDENONG
Quest Dandenong,"2-6 James St, Dandenong VIC 3175, Australia",4.1,DANDENONG
ibis budget Dandenong,"185-193 Princes Hwy, Cnr Edgewood Rd, Dandenong VIC 3175, Australia",3.5,DANDENONG
Casey on Princes Motel,"218 Princes Hwy, Hallam VIC 3803, Australia",3.6,DANDENONG
Sandown Regency,"477-481 Princes Hwy, Noble Park VIC 3174, Australia",3.3,DANDENONG
Nightcap at Keysborough Hotel,"Cheltenham Rd, Keysborough VIC 3173, Australia",4.2,DANDENONG
Comfort Hotel Dandenong,"124-126 Princes Hwy, Dandenong VIC 3175, Australia",3.6,DANDENONG
Sandown Park Hotel,"Corrigan Rd, Noble Park VIC 3174, Australia",4.0,DANDENONG
Keysborough Hotel,"Corrigan Rd &, Cheltenham Rd, Keysborough VIC 3173, Australia",3.9,DANDENONG
Rowville International Hotel,"1233 Stud Rd, Rowville VIC 3178, Australia",4.0,DANDENONG
Ramada Encore by Wyndham Dandenong,"50-52 McCrae St, Dandenong VIC 3175, Australia",3.9,DANDENONG
Prince Mark Motor Inn,"4 Power Rd, Doveton VIC 3177, Australia",3.7,DANDENONG
Clayton-Monash Motor Inn & Serviced Apartments,"1790 Princes Hwy, Clayton VIC 3168, Australia",3.8,DANDENONG
The Dingley Hotel,"334 Boundary Rd, Dingley Village VIC 3172, Australia",4.1,DANDENONG
Waltzing Matilda Hotel,"856 Heatherton Rd, Springvale VIC 3171, Australia",3.8,DANDENONG
Admiralty Inn,"66 McKillop St, Geelong VIC 3220, Australia",4.2,GEELONG
Comfort Inn Bay City,"231-235 Malop St, Geelong VIC 3220, Australia",4.0,GEELONG
Eastern Sands Geelong Accommodation,"1 Bellerine St, Geelong VIC 3220, Australia",3.8,GEELONG
Belmercer Motel,"12-14 Mercer St, Geelong VIC 3220, Australia",3.7,GEELONG
Shannon Motor Inn,"283/285 Shannon Ave, Newtown VIC 3220, Australia",4.4,GEELONG
Best Western Geelong Motor Inn and Apartments,"30 Keera St, Geelong VIC 3220, Australia",4.1,GEELONG
Aberdeen Motor Inn,"9 Aberdeen St, Geelong VIC 3220, Australia",3.1,GEELONG
The Sphinx Hotel,"2 Thompson Rd, North Geelong VIC 3215, Australia",3.9,GEELONG
Parkside Motel Geelong,"68 High St, Geelong VIC 3216, Australia",3.3,GEELONG
Quality Hotel Bayside Geelong,"13-15 The Esplanade, Geelong VIC 3220, Australia",4.0,GEELONG
The Abbotswood Motor Inn,"308-310 High St, Belmont VIC 3216, Australia",3.7,GEELONG
Corio Bay Motel,"292 Princes Hwy, Corio VIC 3214, Australia",3.0,GEELONG
Rose Garden Motel,"14-16 Settlement Rd, Geelong VIC 3216, Australia",4.5,GEELONG
Riverglen Holiday Park Geelong,"75 Barrabool Rd, Belmont VIC 3216, Australia",4.3,GEELONG
Anchor Geelong,"39 Swanston St, Geelong VIC 3220, Australia",4.6,GEELONG
Kardinia Park Motel,"422 Latrobe Terrace, Newtown VIC 3220, Australia",3.8,GEELONG
Parkwood Motel & Apartments,"8 Lily St, Hamlyn Heights VIC 3215, Australia",4.3,GEELONG
Golden Palms Motel,"234 Torquay Rd, Grovedale VIC 3216, Australia",4.0,GEELONG
Discovery Parks - Geelong,"59 Barrabool Rd, Belmont VIC 3216, Australia",4.2,GEELONG
Gold Star Stays,"75 McKillop St, Geelong VIC 3220, Australia",3.5,GEELONG
The Carrington,"505 Wyndham St, Shepparton VIC 3630, Australia",4.2,SHEPPARTON
Quality Hotel Parklake Shepparton,"481 Wyndham St, Shepparton VIC 3630, Australia",4.0,SHEPPARTON
Bell Tower Motor Inn,"587 Wyndham St, Shepparton VIC 3630, Australia",4.0,SHEPPARTON
Country Home Motor Inn,"11 Wyndham St, Shepparton VIC 3630, Australia",4.3,SHEPPARTON
Big Valley Motor Inn,"564 Wyndham St, Shepparton VIC 3630, Australia",4.2,SHEPPARTON
Quality Hotel Sherbourne Terrace,"109 Wyndham St, Shepparton VIC 3630, Australia",4.0,SHEPPARTON
"Paradise Lakes Motel, Shepparton","7685 Goulburn Valley Hwy, Kialla VIC 3631, Australia",4.7,SHEPPARTON
Courtyard Motor Inn,"58/60 Wyndham St, Shepparton VIC 3630, Australia",4.2,SHEPPARTON
Pines Country Club Motor Inn,"103/109 Numurkah Rd, Shepparton VIC 3630, Australia",4.1,SHEPPARTON
Southgate Motor Inn,"630 Wyndham St, Shepparton VIC 3630, Australia",4.3,SHEPPARTON
Tudor House Motor Inn(Not Pet Friendly),"64 Wyndham St, Shepparton VIC 3630, Australia",3.8,SHEPPARTON
Addison Motor Inn,"33-37 Wyndham St, Shepparton VIC 3630, Australia",4.6,SHEPPARTON
Overlander Hotel,"97 Benalla Rd, Shepparton VIC 3630, Australia",4.0,SHEPPARTON
Comfort Inn Peppermill,"7900 Goulburn Valley Hwy, Shepparton VIC 3630, Australia",4.2,SHEPPARTON
Quest Shepparton,"177-183 Welsford St, Shepparton VIC 3630, Australia",4.2,SHEPPARTON
Riverside Cabin Park,"8049 Goulburn Valley Hwy, Kialla VIC 3631, Australia",4.5,SHEPPARTON
"Wyndhamere Motel, Shepparton","65-67 Wyndham St, Shepparton VIC 3630, Australia",4.2,SHEPPARTON
Rodney Motor Inn,"146 McLennan St, Mooroopna VIC 3629, Australia",4.5,SHEPPARTON
THE ROYAL MAIL HOTEL,"47 McLennan St, Mooroopna VIC 3629, Australia",4.3,SHEPPARTON
Shepparton Golf Motel,"15 Golf Dr, Shepparton VIC 3630, Australia",4.2,SHEPPARTON
Daylesford Central Motor Inn,"54 Albert St, Daylesford VIC 3460, Australia",4.6,DAYLESFORD
The Royal Daylesford Hotel,"27 Vincent St, Daylesford VIC 3460, Australia",4.0,DAYLESFORD
Daylesford Hotel,"2 Burke Square, Daylesford VIC 3460, Australia",4.2,DAYLESFORD
FARMERS ARMS HOTEL DAYLESFORD,"1 East St, Daylesford VIC 3460, Australia",4.4,DAYLESFORD
Daylesford Inn,"2891 Ballan-Daylesford Rd, Daylesford VIC 3460, Australia",4.5,DAYLESFORD
Avala Accommodation,"11 Hepburn Rd, Daylesford VIC 3460, Australia",3.6,DAYLESFORD
Farmers Arms Art Suites,"2 East St, Daylesford VIC 3460, Australia",4.7,DAYLESFORD
Lake Daylesford Apartments,"16 Leggatt St, Daylesford VIC 3460, Australia",3.9,DAYLESFORD
Hotel Frangos,"82 Vincent St, Daylesford VIC 3460, Australia",3.4,DAYLESFORD
Daylesford Holiday Park,"3021 Ballan-Daylesford Rd, Daylesford VIC 3460, Australia",4.3,DAYLESFORD
Albert Hotel,"Daylesford VIC 3460, Australia",5.0,DAYLESFORD
The Mills Daylesford,"12 Camp St, Daylesford VIC 3460, Australia",4.3,DAYLESFORD
Daylesford Lake Villas,"110 West St, Daylesford VIC 3460, Australia",5.0,DAYLESFORD
Central Springs Inn,"6 Camp St, Daylesford VIC 3460, Australia",4.5,DAYLESFORD
"Bellinzona Resort, Cellar Door & Dining","77 Main Rd, Hepburn Springs VIC 3461, Australia",4.2,DAYLESFORD
The Hide on Cobblers Creek,"15 Langdon Ct, Daylesford VIC 3460, Australia",4.6,DAYLESFORD
Lake House,"4 King St, Daylesford VIC 3460, Australia",4.6,DAYLESFORD
The Manse Daylesford,"19A Camp St, Daylesford VIC 3460, Australia",4.1,DAYLESFORD
Lake Daylesford Cottage,"11 Leggatt St, Daylesford VIC 3460, Australia",4.5,DAYLESFORD
Nhill Oasis Motel,"21 Dimboola Rd, Nhill VIC 3418, Australia",4.1,NHILL
Zero Inn Motel,"31 Nelson St, Nhill VIC 3418, Australia",3.9,NHILL
Motel Wimmera,"1 Fritsch Ct, Nhill VIC 3418, Australia",3.8,NHILL
Union Hotel Nhill,"39/41 Victoria St, Nhill VIC 3418, Australia",3.7,NHILL
Acacia Motor Inn @ Nhill,"7291 Western Hwy, Nhill VIC 3418, Australia",3.1,NHILL
Little Desert Nature Lodge,"1457 Nhill-Harrow Rd, Nhill VIC 3418, Australia",4.2,NHILL
Nhill Caravan Park,"93 Victoria St, Nhill VIC 3418, Australia",3.5,NHILL
Nightcap at Westside Hotel,"Leakes Rd &, Fitzgerald Rd, Laverton VIC 3026, Australia",4.0,ALTONA
Club Laverton,"15 Aviation Rd, Laverton VIC 3028, Australia",3.9,ALTONA
The Lodge,"481 Melbourne Rd, Newport VIC 3015, Australia",3.8,ALTONA
Millers Inn,"204 Millers Rd, Altona North VIC 3025, Australia",3.8,ALTONA
Westside Hotel,"Leakes Rd &, Fitzgerald Rd, Laverton VIC 3026, Australia",3.8,ALTONA
Guiding Star Hotel,"700 Geelong Rd, Brooklyn VIC 3012, Australia",4.1,ALTONA
Newport Homestay & Lodge,"481 Melbourne Rd, Newport VIC 3015, Australia",4.6,ALTONA
Quest Williamstown North,"115-119 Kororoit Creek Rd, Williamstown VIC 3016, Australia",4.0,ALTONA
Quest Sanctuary Lakes,"9 Greg Norman Dr, Point Cook VIC 3030, Australia",4.3,ALTONA
Quality Suites Point Cook Seasons 5,"454 Point Cook Rd, Point Cook VIC 3030, Australia",4.1,ALTONA
Monte Villa Motor Inn,"78-80 Old Geelong Rd, Hoppers Crossing VIC 3029, Australia",3.5,ALTONA
Footscray Motor Inn,"90 Droop St, Footscray VIC 3011, Australia",3.7,ALTONA
West City Motel,"610 Ballarat Rd, Ardeer VIC 3022, Australia",3.5,ALTONA
Glengala Hotel,"214 Glengala Rd, Sunshine VIC 3020, Australia",3.7,ALTONA
Jasper Hotel,"489 Elizabeth St, Melbourne VIC 3000, Australia",4.1,ALTONA
Sunshine Motor Inn,"608 Ballarat Rd, Ardeer VIC 3022, Australia",4.1,ALTONA
Plough Hotel Footscray,"333 Barkly St, Footscray VIC 3011, Australia",4.3,ALTONA
Deluxe Lake View House 20mins CBD,"39 Spinnaker Rise, Point Cook VIC 3030, Australia",5.0,ALTONA
Apple House Point Cook,"41 Creston St, Point Cook VIC 3030, Australia",4.8,ALTONA
Discovery Parks - Melbourne,"129 Ashley St, Braybrook VIC 3019, Australia",4.2,ALTONA
Horsham Motel,"5 Dimboola Rd, Horsham VIC 3400, Australia",3.8,HORSHAM
majestic motel,"56 Stawell Rd, Horsham VIC 3400, Australia",4.1,HORSHAM
Comfort Inn Capital Horsham,"109 Firebrace St, Horsham VIC 3400, Australia",4.0,HORSHAM
Sundowner Horsham Westlander Motor Inn,"100 Stawell Rd, Horsham VIC 3400, Australia",4.0,HORSHAM
Darlot Motor Inn,"47 Stawell Rd, Horsham VIC 3400, Australia",3.9,HORSHAM
Horsham Mid City Court Motel,"12-14 Darlot St, Horsham VIC 3400, Australia",4.1,HORSHAM
Olde Horsham Motor Inn,"9182 Western Hwy, Riverside VIC 3401, Australia",3.8,HORSHAM
Smerdon Lodge Motel,"42 Dimboola Rd, Horsham VIC 3400, Australia",4.0,HORSHAM
Town House Motor Inn Horsham 0353824691,"31-33 Roberts Ave, Horsham VIC 3400, Australia",4.4,HORSHAM
Comfort Inn May Park,"2-4 Darlot St, Horsham VIC 3400, Australia",4.4,HORSHAM
Ploughmans Motor Inn,"22 Dimboola Rd, Horsham VIC 3400, Australia",4.1,HORSHAM
Horsham Riverside Caravan Park,"190 Firebrace St, Horsham VIC 3400, Australia",4.3,HORSHAM
Golden Grain Motor Inn,"6 Dimboola Rd, Horsham VIC 3400, Australia",4.0,HORSHAM
Country City Motor Inn,"11 Ocallaghans Parade, Horsham VIC 3400, Australia",4.6,HORSHAM
Horsham International Hotel,"118 Baillie St, Horsham VIC 3400, Australia",4.2,HORSHAM
Royal Hotel,"132 Firebrace St, Horsham VIC 3400, Australia",4.2,HORSHAM
Glynlea Motel,"26-28 Stawell Rd, Horsham VIC 3400, Australia",3.8,HORSHAM
Wimmera Lakes Caravan Resort,"9161 Western Hwy, Haven VIC 3401, Australia",3.9,HORSHAM
White Hart Hotel,"55 Firebrace St, Horsham VIC 3400, Australia",4.2,HORSHAM
May Park Executive Apartments,"1 Darlot St, Horsham VIC 3400, Australia",4.3,HORSHAM
Meadow Inn Hotel-Motel,"1435 Sydney Rd, Fawkner VIC 3061, Australia",3.6,BROADMEADOWS
Hume Villa Motor Inn,"1324 Sydney Rd, Fawkner VIC 3060, Australia",3.9,BROADMEADOWS
Best Western Airport Motel & Convention Centre,"33 Ardlie St, Attwood VIC 3049, Australia",4.2,BROADMEADOWS
Melbourne Airport Motel,"123 Mickleham Rd, Tullamarine VIC 3043, Australia",4.6,BROADMEADOWS
Essendon Motel,"93 Bulla Rd, Melbourne VIC 3041, Australia",2.8,BROADMEADOWS
Bell Motel,"2 Patterson St, Preston VIC 3072, Australia",4.1,BROADMEADOWS
Best Western Mahoneys Motor Inn,"47A Mahoneys Rd, Reservoir VIC 3073, Australia",3.7,BROADMEADOWS
Gladstone Park Hotel,"196 Mickleham Rd, Gladstone Park VIC 3043, Australia",3.9,BROADMEADOWS
Ciloms Airport Lodge,"398 Melrose Dr, Tullamarine VIC 3043, Australia",3.9,BROADMEADOWS
Coburg Motor Inn,"726 Sydney Rd, Coburg North VIC 3058, Australia",2.6,BROADMEADOWS
St Georges Motor Inn,"334 St Georges Rd, Thornbury VIC 3071, Australia",4.0,BROADMEADOWS
The Black Horse Hotel,"80 Bulla Rd, Bulla VIC 3428, Australia",4.1,BROADMEADOWS
Footscray Motor Inn,"90 Droop St, Footscray VIC 3011, Australia",3.7,BROADMEADOWS
Taylors Lakes Hotel,"7 Melton Hwy, Taylors Lakes VIC 3038, Australia",4.2,BROADMEADOWS
West City Motel,"610 Ballarat Rd, Ardeer VIC 3022, Australia",3.5,BROADMEADOWS
Best Western Mill Park Motel & Conference Centre,"14 The Link, Mill Park VIC 3082, Australia",4.0,BROADMEADOWS
Parkville Motel,"759 Park St, Brunswick VIC 3056, Australia",3.7,BROADMEADOWS
Greensborough Motor Inn,"245 Greensborough Rd, Macleod VIC 3085, Australia",3.7,BROADMEADOWS
Arden Motel,"15 Arden St, North Melbourne VIC 3051, Australia",3.7,BROADMEADOWS
Glendalough Bed & Breakfast,"197-199 Cashmere St, Travancore VIC 3032, Australia",4.5,BROADMEADOWS
Beechworth Motor Inn,"54 Sydney Rd, Beechworth VIC 3747, Australia",4.7,BEECHWORTH
Armour Motor Inn,"1 Camp St, Beechworth VIC 3747, Australia",4.6,BEECHWORTH
Golden Heritage Accommodation,"51 Sydney Rd, Beechworth VIC 3747, Australia",4.6,BEECHWORTH
Empire Hotel,"10 Camp St, Beechworth VIC 3747, Australia",4.5,BEECHWORTH
Linaker Hotel,"Beechworth VIC 3747, Australia",4.2,BEECHWORTH
Beechworth Carriage Motor Inn,"44 Camp St, Beechworth VIC 3747, Australia",3.8,BEECHWORTH
Beechworth on Bridge Motel,"38 Bridge Rd, Beechworth VIC 3747, Australia",4.7,BEECHWORTH
The George Kerferd,"22 Oak Ave, Beechworth VIC 3747, Australia",4.2,BEECHWORTH
The Stone Cottage,"6 Tanswell St, Beechworth VIC 3747, Australia",4.7,BEECHWORTH
The Old Priory,"8 Priory Ln, Beechworth VIC 3747, Australia",4.0,BEECHWORTH
StoneTryst Spa Villas,"10 Granjoise Ln, Beechworth VIC 3747, Australia",4.9,BEECHWORTH
