accommodation_name,accommodation_address,accommodation_rating,accommodation_city
John Bright Motor Inn,"10-12 Wood St, Bright VIC 3741, Australia",4.3,BRIGHT
Riverbank Park Motel,"69 Gavan St, Bright VIC 3741, Australia",4.1,BRIGHT
High Country Motor Inn,"13-17 Great Alpine Rd, Bright VIC 3741, Australia",3.9,BRIGHT
Bright Avenue Motor Inn,"87 Delany Ave, Bright VIC 3741, Australia",4.5,BRIGHT
Bright Colonial Motel,"56 Gavan St, Bright VIC 3741, Australia",4.6,BRIGHT
Ovens View,"1 Riverside Ave, Bright VIC 3741, Australia",4.0,BRIGHT
Coach House Inn,"100 Gavan St, Bright VIC 3741, Australia",4.1,BRIGHT
Bright on Track,"1 The Track, Bright VIC 3741, Australia",4.0,BRIGHT
Mountain Creek Motel Bar And Restaurant,"6 Ryders Ln, Tawonga VIC 3697, Australia",4.7,BRIGHT
Elm Lodge,"6 Wood St, Bright VIC 3741, Australia",4.0,BRIGHT
Abby's Cottages,"171 School Rd, Wandiligong VIC 3744, Australia",5.0,BRIGHT
Bright Chalet,"113 Delany Ave, Bright VIC 3741, Australia",4.1,BRIGHT
Alpine Aspects,"5 Iarias Ln, Bright VIC 3741, Australia",5.0,BRIGHT
No 6 - Luxury Private Haven,"6/1 Delany Ave, Bright VIC 3741, Australia",0.0,BRIGHT
Bright Resort,"Stackey Gully Rd, Bright VIC 3741, Australia",4.6,BRIGHT
"Leader Reef Luxury Accommodation in Bright, Victoria","4 Leader Reef Dr, Bright VIC 3741, Australia",5.0,BRIGHT
Le Chateau,"11a Delany Ave, Bright VIC 3741, Australia",5.0,BRIGHT
COLLINS RETREAT,"2 Louie Ct, Bright VIC 3741, Australia",4.6,BRIGHT
Mister Brightside - Bright Accommodation,"5 Wood St, Bright VIC 3741, Australia",4.9,BRIGHT
Ashwood Cottages,"22A Ashwood Ave, Bright VIC 3741, Australia",4.6,BRIGHT
Ararat Motor Inn,"367 Barkly St, Ararat VIC 3377, Australia",4.6,ARARAT
Ararat Colonial Lodge Motel,"6 Ingor St, Ararat VIC 3377, Australia",3.8,ARARAT
Statesman Motor Inn,"79 Lambert St, Ararat VIC 3377, Australia",4.0,ARARAT
Ararat Southern Cross Motor Inn,"96 High St, Ararat VIC 3377, Australia",4.6,ARARAT
Chalambar Motel,"132 Lambert St, Ararat VIC 3377, Australia",3.9,ARARAT
Ararat Central Motel,"249 Barkly St, Ararat VIC 3377, Australia",3.9,ARARAT
Begonia City Motor Inn,"244 Albert St, Sebastopol VIC 3356, Australia",4.2,BALLARAT
Barkly Motorlodge,"43 Main Rd, Bakery Hill VIC 3350, Australia",3.8,BALLARAT
Peppinella Motel,"102 Smythes Rd, Delacombe VIC 3356, Australia",4.1,BALLARAT
Victoriana Motor Inn,"214 Victoria St, Ballarat East VIC 3350, Australia",4.5,BALLARAT
Bakery Hill Motel,"1 Humffray St S, Bakery Hill VIC 3350, Australia",4.0,BALLARAT
Alfred Motor Inn,"1839-1843 Sturt St, Alfredton VIC 3350, Australia",3.8,BALLARAT
Ballarat Mid City Hotel,"19 Doveton St N, Ballarat Central VIC 3350, Australia",3.8,BALLARAT
Ballarat Central City Motor Inn,"16 Victoria St, Bakery Hill VIC 3350, Australia",4.4,BALLARAT
Main Lead Ballarat Motel,"312/316 Main Rd, Ballarat VIC 3350, Australia",3.5,BALLARAT
Avenue Motel Ballarat,"1813 Sturt St, Alfredton VIC 3350, Australia",3.2,BALLARAT
Eureka Lodge Motel,"119 Stawell St S, Ballarat East VIC 3350, Australia",3.7,BALLARAT
