LGAcode,Council,_2018,_2019,_2018_2019,percentagechange,Naturalincrease,Netinternalmigration,Netoverseasmigration,Areasqkm,Populationdensity
20110,AlpineS,12730,12814,84,0.7,-49,61,72,4788.2,2.7
20260,AraratRC,11795,11845,50,0.4,-5,-8,63,4211.1,2.8
20570,BallaratC,107324,109505,2181,2.0,444,1187,550,739.0,148.2
20660,BanyuleC,130250,131631,1381,1.1,573,-492,1300,62.5,2104.7
20740,BassCoastS,35326,36320,994,2.8,-27,901,120,865.8,41.9
20830,BawBawS,52012,53396,1384,2.7,242,1012,130,4027.6,13.3
20910,BaysideC,105745,106862,1117,1.1,125,-17,1009,37.2,2871.8
21010,BenallaRC,14023,14037,14,0.1,-19,7,26,2352.6,6.0
21110,BoroondaraC,181376,183199,1823,1.0,364,-947,2406,60.2,3044.3
21180,BrimbankC,208744,209523,779,0.4,1495,-3884,3168,123.4,1697.9
21270,BulokeS,6183,6124,-59,-1.0,-31,-44,16,8000.4,0.8
21370,CampaspeS,37590,37622,32,0.1,-12,-32,76,4518.9,8.3
21450,CardiniaS,107117,112159,5042,4.7,1294,3204,544,1282.6,87.4
21610,CaseyC,340443,353872,13429,3.9,3823,5766,3840,409.4,864.3
21670,CentralGoldfieldsS,13208,13186,-22,-0.2,-79,37,20,1532.8,8.6
21750,ColacOtwayS,21502,21564,62,0.3,37,-61,86,3437.5,6.3
21830,CorangamiteS,16139,16020,-119,-0.7,-37,-124,42,4407.5,3.6
21890,DarebinC,161653,164184,2531,1.6,917,-1504,3118,53.5,3070.5
22110,EastGippslandS,46816,47316,500,1.1,-46,452,94,20940.2,2.3
22170,FrankstonC,141847,142643,796,0.6,746,-733,783,129.6,1100.7
22250,GannawarraS,10546,10472,-74,-0.7,-36,-42,4,3735.3,2.8
22310,GlenEiraC,153920,156511,2591,1.7,728,-871,2734,38.7,4045.2
22410,GlenelgS,19664,19674,10,0.1,-1,-23,34,6218.6,3.2
22490,GoldenPlainsS,23118,23722,604,2.6,139,433,32,2703.4,8.8
22620,GreaterBendigoC,116041,118093,2052,1.8,490,1056,506,3000.0,39.4
22670,GreaterDandenongC,166140,168201,2061,1.2,1308,-3162,3915,129.5,1298.4
22750,GreaterGeelongC,252229,258934,6705,2.7,1030,3796,1879,1248.0,207.5
